SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-UW-21041774226/2021,MZ233004.1
USA/WA-CDC-LC0813261/2022,OP217945.1
USA/WA-PHL-007134/2021,PQ172647.1
USA/WA-UW-21080747275/2021,MZ970951.1
USA/WA-CDC-LC0275705/2021,OK368178.1
USA/WA-CDC-LC0337775/2021,OL329213.1
USA/WA-PHL-035276/2024,PP845910.1
USA/WA-UW-2119/2020,MT345809.1
USA/WA-CDC-UW21121055710/2021,OL914212.1
USA/WA-PHL-025511/2022,PP787069.1
USA/WA-PHL-018423/2022,OQ755204.1
USA/WA-CDC-LC0675755/2022,ON726726.1
USA/WA-UW-21042612574/2021,MZ394261.1
USA/WA-S7271/2021,MZ222547.1
USA/WA-CDC-UW23071007720/2023,OR349704.1
USA/WA-PHL-005063/2021,PQ171763.1
USA/WA-UW-22112887682/2022,OP967752.1
USA/WA-CDC-UW22123094700/2022,OQ204772.1
USA/WA-S14512/2021,OL676644.1
USA/WA-UW-21072490912/2021,MZ815317.1
USA/WA-S4680/2020,MW685639.2
USA/WA-CDC-LC0748879/2022,ON976238.1
USA/WA-CDC-LC0704607/2022,ON824396.1
USA/WA-S2011/2020,MT831203.1
USA/WA-CDC-UW22032496512/2022,ON222649.1
USA/WA-UW-21122942741/2021,OM510097.1
USA/WA-CDC-UW22030168541/2022,ON018579.1
USA/WA-UW-22072573706/2022,OP209445.1
USA/WA-UW-60635/2021,MW879604.1
USA/WA-CDC-LC0268258/2021,OK307798.1
USA/WA-CDC-LC0606420/2022,ON499312.1
USA/WA-UW-67979/2021,MZ232138.1
USA/WA-CDC-UW23050781816/2023,OQ997330.1
USA/WA-PHL-031981/2023,PQ372017.1
USA/WA-UW-22041403521/2022,ON478613.1
USA/WA-CDC-QDX28782329/2021,OK373253.1
USA/WA-PHL-031025/2022,PP788126.1
USA/WA-CDC-UW22060788266/2022,ON849197.1
USA/WA-UW-21080259815/2021,MZ835806.1
USA/WA-CDC-LC0720076/2022,ON894974.1
USA/WA-CDC-UW22120634743/2022,OQ080241.1
USA/WA-CDC-QDX30519458/2021,OL498783.1
USA/WA-CDC-LC0746808/2022,ON968042.1
USA/WA-S20892/2022,ON810325.1
USA/WA-PHL-009778/2021,PQ174033.1
USA/WA-PHL-022628/2022,PP478459.1
USA/WA-UW-65213/2021,MZ235762.1
USA/WA-S19044/2022,ON052981.1
USA/WA-PHL-010551/2021,PQ174678.1
USA/WA-CDC-QDX33873840/2022,OM894138.1
USA/WA-S5997/2021,MW945366.1
USA/WA-PHL-005728/2021,PQ172111.1
USA/WA-CDC-UW22080934897/2022,OP303463.1
USA/WA-PHL-003753/2021,PP628776.1
USA/WA-UW-2021041327471/2021,MZ240445.1
USA/WA-CDC-UW21042153884/2021,MZ153010.1
USA/WA-UW-21122115111/2021,OM296561.1
USA/WA-PHL-008655/2021,PQ173570.1
USA/WA-UW-22121465550/2022,OQ290649.1
USA/WA-UW-21042059802/2021,MZ171805.1
USA/WA-S20172/2022,ON660709.1
USA/WA-UW-22042069646/2022,ON631426.1
USA/WA-S10985/2021,OK137371.1
